time,open,high,low,close,volume
2026-01-26 08:20:00,137.25333088453746,137.3477219661958,137.18966307556565,137.25333088453746,183691
2026-01-26 08:25:00,137.42147523254718,137.80642843457528,137.3713682960018,137.42147523254718,139159
2026-01-26 08:30:00,137.55280017365473,137.5604349635525,137.37979662263376,137.55280017365473,79373
2026-01-26 08:35:00,137.78877436763554,138.13266685323663,137.68293793375392,137.78877436763554,60092
2026-01-26 08:40:00,137.81898909824292,138.0895066779571,137.64230717177605,137.81898909824292,99084
2026-01-26 08:45:00,137.7745015499455,138.1840928146604,137.7583085222192,137.7745015499455,199984
2026-01-26 08:50:00,137.55332312940158,137.74671526137712,137.4862941020699,137.55332312940158,295040
2026-01-26 08:55:00,137.407542893415,137.50408349184133,137.40524800963715,137.407542893415,288379
2026-01-26 09:00:00,137.1926625301794,137.60230050007158,136.90962917556098,137.1926625301794,239991
2026-01-26 09:05:00,137.24405705585448,137.6379129787751,137.10851644336586,137.24405705585448,127012
2026-01-26 09:10:00,136.97778936340873,137.17827460982645,136.655300054536,136.97778936340873,90247
2026-01-26 09:15:00,136.79325702463828,136.87464780099745,136.56382497256806,136.79325702463828,278292
2026-01-26 09:20:00,136.92965824410754,137.19803292629376,136.70903470935784,136.92965824410754,275049
2026-01-26 09:25:00,136.96819434396008,137.25720361466188,136.708754978124,136.96819434396008,155725
2026-01-26 09:30:00,136.87305730347543,137.15519641217554,136.83776794958297,136.87305730347543,206615
2026-01-26 09:35:00,137.1270725904566,137.51572510594912,137.02384210935352,137.1270725904566,70246
2026-01-26 09:40:00,137.17038743163323,137.18419379516462,137.04293143671802,137.17038743163323,52349
2026-01-26 09:45:00,137.40112243652578,137.7089313129359,137.11082229238897,137.40112243652578,166446
2026-01-26 09:50:00,137.56080806132107,137.6916732638081,137.34878227932967,137.56080806132107,141924
2026-01-26 09:55:00,137.7515026580292,138.0593231901245,137.68284013434624,137.7515026580292,50500
2026-01-26 10:00:00,137.95871166329675,138.22260458542635,137.71892346115783,137.95871166329675,251410
2026-01-26 10:05:00,137.7641786558513,137.89452043474765,137.53401146509404,137.7641786558513,235059
2026-01-26 10:10:00,137.93518551178474,137.95726321720724,137.80674285503835,137.93518551178474,101462
2026-01-26 10:15:00,138.08459452098896,138.14386116003556,137.97133186691514,138.08459452098896,206480
2026-01-26 10:20:00,138.0288853182304,138.1686175461382,137.77519497571635,138.0288853182304,183134
2026-01-26 10:25:00,138.232002106575,138.6335199663772,137.97265849640786,138.232002106575,111340
2026-01-26 10:30:00,138.20715414624485,138.32833406459477,138.05777339011962,138.20715414624485,197468
2026-01-26 10:35:00,138.19529688752414,138.38734911239916,137.94054010090673,138.19529688752414,184174
2026-01-26 10:40:00,138.20293304905897,138.22050368688474,137.95044426127862,138.20293304905897,136148
2026-01-26 10:45:00,138.33044685053537,138.43899190345127,138.02114544979892,138.33044685053537,109384
2026-01-26 10:50:00,138.28109689370189,138.36458766042364,138.08611940952596,138.28109689370189,77690
2026-01-26 10:55:00,138.0908481605237,138.21507262660137,137.81766645354145,138.0908481605237,80158
2026-01-26 11:00:00,138.04453278443543,138.2724527185242,137.6900353590921,138.04453278443543,115288
2026-01-26 11:05:00,137.87723495702113,137.917558635087,137.842374656639,137.87723495702113,75880
