time,open,high,low,close,volume
2024-01-01 09:15,120.0,121.0,119.8,120.5,100000
2024-01-01 09:20,120.5,122.0,120.0,121.8,110000
2024-01-01 09:25,121.8,123.0,121.5,122.9,105000
2024-01-01 09:30,122.9,124.0,122.0,123.8,98000
2024-01-01 09:35,123.8,125.0,123.5,124.6,120000
2024-01-01 09:40,124.6,125.0,123.8,124.0,115000
2024-01-01 09:45,124.0,124.2,122.8,123.2,130000
2024-01-01 09:50,123.2,123.5,121.9,122.4,125000
2024-01-01 09:55,122.4,122.8,121.0,121.5,140000
2024-01-01 10:00,121.5,123.0,121.2,122.6,150000
